dataset,sequence,frame,source_image_file,mask_file,method,label,area,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,mean_intensity,max_intensity,min_intensity,integrated_intensity
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,1,2730.0,7.871794871794871,401.7358974358974,118.02783882783883,5,382,90,12,417,151,1808.0483516483516,4095.0,232.0,4935972.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,2,4174.0,10.55534259702923,426.0790608528989,471.5225203641591,5,411,454,18,443,502,1903.4772400574989,4095.0,236.0,7945114.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,3,2053.0,7.879201169020945,151.61471018022405,391.3190452995616,6,140,358,11,166,429,1174.2055528494886,4095.0,230.0,2410644.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,4,2466.0,7.976885644768856,199.43714517437147,126.07542579075425,6,171,103,11,229,152,1450.7952149229523,4095.0,236.0,3577661.0000000005
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,5,1216.0,8.013157894736842,216.08881578947367,265.9547697368421,6,205,253,11,231,277,1385.123355263158,4095.0,238.0,1684310.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,6,1347.0,7.979213066072754,250.27616926503342,17.608760207869338,6,240,9,12,262,28,1726.8878990348924,4095.0,234.0,2326118.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,7,1580.0,8.098101265822784,265.2151898734177,431.38291139240505,6,253,410,12,278,448,1394.8981012658228,4095.0,238.0,2203939.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,8,1578.0,9.339670468948036,323.59505703422053,5.576679340937896,6,297,0,14,345,16,1747.4531051964511,4095.0,230.0,2757481.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,9,1239.0,7.7158999192897495,350.5407586763519,304.70621468926555,6,335,281,11,363,323,1462.3317191283293,4095.0,234.0,1811829.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,10,1450.0,7.682068965517241,381.2055172413793,352.00827586206896,6,363,330,11,418,371,1507.743448275862,4095.0,238.0,2186228.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,11,1421.0,7.676988036593948,429.3694581280788,89.65165376495426,6,416,65,11,445,117,1677.3969035890218,4095.0,242.0,2383581.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,12,2698.0,7.707561156412157,472.4855448480356,254.37064492216456,6,455,220,12,499,313,1550.3902891030393,4095.0,234.0,4182953.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,13,474.0,7.565400843881856,502.62025316455697,8.987341772151899,6,494,4,11,512,16,1328.2700421940929,4095.0,242.0,629600.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,14,127.0,7.937007874015748,38.29133858267716,303.1732283464567,7,35,299,10,42,308,1174.6929133858268,4095.0,242.0,149186.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,15,1835.0,9.28283378746594,462.0479564032698,47.058310626703,7,431,38,13,491,54,1531.5384196185287,4095.0,236.0,2810373.0
Fluo-C3DL-MDA231,01,000,data/raw/Fluo-C3DL-MDA231/01/t000.tif,reports/milestone_2/predicted_masks/mask000.tif,otsu,16,1585.0,10.49968454258675,249.13123028391166,308.06750788643535,8,239,294,15,268,319,1685.581072555205,4095.0,240.0,2671646.0
